drug_uri,drug_label,mesh_id,word_list_term
http://id.nlm.nih.gov/mesh/D009288,naproxen,D009288,naproxen
http://id.nlm.nih.gov/mesh/C556203,"(1s,5r)-(((4s)-azepan-4-ylamino)carbonyl)-7-oxo-2,6-diazabicyclo(3.2.0)heptane-6-sulfonic acid",C556203,acid
http://id.nlm.nih.gov/mesh/C115584,"5,8-diethoxypsoralen",C115584,oral
http://id.nlm.nih.gov/mesh/C039711,"attacin antibacterial protein, insect",C039711,insect
http://id.nlm.nih.gov/mesh/C009500,tolfenamic acid,C009500,tolfenamic
http://id.nlm.nih.gov/mesh/D003529,cymarine,D003529,marine
http://id.nlm.nih.gov/mesh/C000629073,nigrosporamide a,C000629073,gros
http://id.nlm.nih.gov/mesh/D002635,chenodeoxycholic acid,D002635,chen
http://id.nlm.nih.gov/mesh/C058430,lipidin-2,C058430,lipid
http://id.nlm.nih.gov/mesh/C000628506,catechol functionalized-chitosan,C000628506,functional
http://id.nlm.nih.gov/mesh/C011499,methanol extraction residue (mer) tubercle bacillus fraction,C011499,extraction
http://id.nlm.nih.gov/mesh/D000068342,"aspirin, dipyridamole drug combination",D000068342,amol
http://id.nlm.nih.gov/mesh/C054625,boswellic acid,C054625,well
http://id.nlm.nih.gov/mesh/D006495,"heparin, low-molecular-weight",D006495,weight
http://id.nlm.nih.gov/mesh/C084711,s 20098,C084711,2009
http://id.nlm.nih.gov/mesh/D019774,blood coagulation factor inhibitors,D019774,tors
http://id.nlm.nih.gov/mesh/D053380,tumor necrosis factor ligand superfamily member 15,D053380,superfamily
http://id.nlm.nih.gov/mesh/C044245,"1,2-diaminocyclohexaneplatinum ii citrate",C044245,rate
http://id.nlm.nih.gov/mesh/D017324,hematoporphyrin derivative,D017324,ative
http://id.nlm.nih.gov/mesh/C079315,2-(4-(quinolin-2-yl-methoxy)phenyl)-2-cyclopentylacetic acid,C079315,acetic
http://id.nlm.nih.gov/mesh/C576364,fostemsavir,C576364,tems
http://id.nlm.nih.gov/mesh/D017324,hematoporphyrin derivative,D017324,riva
http://id.nlm.nih.gov/mesh/C010395,acetylsalicylic acid lysinate,C010395,acetylsalicylic
http://id.nlm.nih.gov/mesh/D009568,nitrendipine,D009568,trend
http://id.nlm.nih.gov/mesh/C060229,"1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1h-pyrrole-2,5-dione",C060229,role
http://id.nlm.nih.gov/mesh/D003868,dequalinium,D003868,equal
http://id.nlm.nih.gov/mesh/D005557,formaldehyde,D005557,aldehyde
http://id.nlm.nih.gov/mesh/D003520,cyclophosphamide,D003520,cyclophosphamide
http://id.nlm.nih.gov/mesh/D009113,muramidase,D009113,dase
http://id.nlm.nih.gov/mesh/D000068196,albumin-bound paclitaxel,D000068196,bound
http://id.nlm.nih.gov/mesh/D013629,tamoxifen,D013629,tamoxifen
http://id.nlm.nih.gov/mesh/C055482,biolf 143,C055482,biol
http://id.nlm.nih.gov/mesh/C002769,oleuropein,C002769,europe
http://id.nlm.nih.gov/mesh/C036196,"mitf protein, aspergillus restrictus",C036196,gill
http://id.nlm.nih.gov/mesh/D015740,calcitonin gene-related peptide,D015740,gene
http://id.nlm.nih.gov/mesh/C585137,6-carboxycellulose,C585137,cell
http://id.nlm.nih.gov/mesh/C080625,taxane,C080625,taxa
http://id.nlm.nih.gov/mesh/D016590,aphidicolin,D016590,coli
http://id.nlm.nih.gov/mesh/C083031,"4,4-dimethyl-1,3-oxazolidine, 3,4,4-trimethyl-1,3-oxazolidine drug combination",C083031,ation
http://id.nlm.nih.gov/mesh/C000628444,sanyang xuedai,C000628444,yang
http://id.nlm.nih.gov/mesh/D002069,butaclamol,D002069,clam
http://id.nlm.nih.gov/mesh/D001548,benzalkonium compounds,D001548,pounds
http://id.nlm.nih.gov/mesh/D053683,oncostatin m,D053683,costa
http://id.nlm.nih.gov/mesh/C037289,2'fluoro-2'-deoxyuridine,C037289,uridine
http://id.nlm.nih.gov/mesh/D004008,diclofenac,D004008,diclofenac
http://id.nlm.nih.gov/mesh/C104416,astressin,C104416,stress
http://id.nlm.nih.gov/mesh/D005749,gastric inhibitory polypeptide,D005749,polyp
http://id.nlm.nih.gov/mesh/D007660,ketoprofen,D007660,ketoprofen
http://id.nlm.nih.gov/mesh/D008613,mepartricin,D008613,part
http://id.nlm.nih.gov/mesh/C061022,bullatacin,C061022,bull
http://id.nlm.nih.gov/mesh/C000628566,gp2015,C000628566,2015
http://id.nlm.nih.gov/mesh/C068675,"cnmd protein, human",C068675,human
http://id.nlm.nih.gov/mesh/C061162,1-arabinofuranosylcytosine-5'-stearylphosphate,C061162,aryl
http://id.nlm.nih.gov/mesh/C091202,b72.3 antibody,C091202,body
http://id.nlm.nih.gov/mesh/D002110,caffeine,D002110,caffeine
http://id.nlm.nih.gov/mesh/C008287,lipid mobilizing substance,C008287,stance
http://id.nlm.nih.gov/mesh/C000631728,geranyl cinnamate,C000631728,eran
